Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
leftDoubleImage,Nomadic Tribe,"Website by Make Me Pulse, 2020","Nomadic Tribe is an award winning website recognized for its intricate animations and storytelling. The site itself was made by a team of creatives called Make Me Pulse. The concept of Nomadic Tribe is centered on a 
mysterious community inhabiting various islands, migrating annually while fulfilling their responsibilities. Within this fantastical graphic setting, these individuals coexisted harmoniously with nature, possessing the ability to communicate 
with it. Their primary focus on each island was nurturing the ecosystem back to its former vitality. As each year concluded, they bid farewell to their current home, embarking on a journey to new territories. Almost all parts of the graphics
are interactive, users can click and drag the mouse the grow a flower, hold to make the birds fly faster, and move their mouse as the foreground graphic follows through, creating a realistic viewpoint render. With an original story and soundtrack, the Make Me Pulse team worked meticulously on every little detail to create an immersive experience that people would remember. 
      
It worked greatly as this website left a really strong impression on me as I encounter it in the 
start of the semester, and ultimately became the primary inspiration in how I developed my website with the concept of a growing flower. I thought it was the perfect chance as the concept of a nurturing nature and growing a flower matches how I will update my website throughout the weeks of Interactive Media. Just like how a flower blooms from a humble seed into a captivating beauty, my website will reflect my own growth in knowledge and understanding as I navigate the challenges and rewards of this subject. It's a testament to the transformative power of learning, where every obstacle and triumph contributes to the vibrant tapestry of personal development. However, I am still discovering the broad subject of creative coding, hence why my website will not be as advanced.",https://cdn.dribbble.com/users/1367633/screenshots/6889684/flowers.gif,https://cdn.dribbble.com/users/1367633/screenshots/7012251/desert.gif,"Nomadic Tribe, Make Me Pulse, 2019, https://2019.makemepulse.com.","Nomadic Tribe, Make Me Pulse, 2019, https://2019.makemepulse.com.",https://2019.makemepulse.com,"CreativeCoding, Illustration, Interactive, Playable", 
left,"Mondrian, Piet","Dutch Painter, 1872-1945","Piet Mondrian is a Dutch artist renowned for his abstract paintings. His abstract art does not depict things that are recognisable such as people, objects or landscapes. Instead he used colours, geometrical shapes, and textures to achieve the desired effect. His emphasize in boundaries and preciseness of form inspired me to utilize geometrical shapes in generating a p5js sketch. This is particularly visible in the ""BTW: Behind The Web!"" page of my website, where I used the rectFill code line to produce rectangles of different heights, weights, and colors randomized at different positions. Ultimately, Mondrian sparked my interest in playing with geometrical shapes and its values of colors. ",https://www.arthistoryproject.com/site/assets/files/5750/piet_mondrian-obelisk-art-history.jpg,,"Oval Composition with Light Colors, Piet Mondrian, 1913-1914.",,https://www.arthistoryproject.com/artists/piet-mondrian/,"ArtTheoritician, Abstractionism, Paintings, GeometricalShapes",
leftDoubleImage,"Kwok, Raven","Chinese Visual Artist and Creative Technologist, 1989-Present","Raven Kwok, also known as Guo Ruiwen, is an artist and technology enthusiast whose creative and research endeavors primarily revolve around exploring the visual aesthetics generated by computer algorithms and software processes. Kwok's works have garnered global recognition, being showcased at various prestigious media art and film festivals such as Ars Electronica, Electronic Language International Festival (FILE), Vienna Independent Shorts (VIS), Punto y Raya (PyR), Resonate, FIBER, and others. He mainly uses the software Processing to create his interactive artworks. Having learned Processing in workshops, Kwok's works are very enticing and inspiring. It feels simple but at the same time, complicated. I particularly really enjoyed his ""Self-Similarity (2022),"" where blocks of cubes divides and multiplies itself to form littler cubes, ultimately forming an eye-catching abstract composition. Despite his serious and composed works that grants him the opportunity to collaborate with well-known brands, he also have archives of his past works where it is we can visibly see that he enjoys playing around with Processing so much, shown through one of his unique work ""Doge Goo (2015)."" He inspired me to delve deeper and test the limits of Processing, in which I really enjoyed doing.",https://live.staticflickr.com/65535/52697274669_985ee73415_o.gif,https://live.staticflickr.com/65535/53450802798_230a137358_o.gif,"Self-Similarity, Raven Kwok, 2022, http://ravenkwok.com/self-similarity-mud-gallery/.","Levitation of Code for Levitation, Raven Kwok, 2023, http://ravenkwok.com/levitation-of-code-for-levitation/",http://ravenkwok.com,"GenerativeArt, CreativeCoding, Processing, p5js",
leftDoubleImage,"Ikeda, Ryoji","Japanese Visual Artist, 1966-Present","Ryoji Ikeda is a prominent figure in Japan's electronic composition and visual art scene who delves deeply into the fundamental properties of sound and light, employing both mathematical precision and aesthetic sensibility. Renowned for his adeptness in seamlessly integrating visual and sonic elements, Ikeda intricately weaves together sound, visuals, materials, physical phenomena, and mathematical concepts to craft immersive live performances and installations. Beyond his musical endeavors, Ikeda has embarked on various long-running projects spanning live performances, installations, publications, and albums, including 'datamatics' (2006-), 'test pattern' (2008-), 'spectra' (2001-), ‘cyclo.’ (a collaborative effort with Carsten Nicolai), ‘superposition’ (2012-), 'supersymmetry' (2014-), and ‘micro | macro’ (2015-). His most popular work, ""test pattern (2008),"" is a system that converts any type of data whether it be text, sounds, photos or movies, into barcode patterns and binary patterns of 0s and 1s. It can be said that Ikeda visualises data inputs and turned it into a designed output in the form of barcode patterns. This is an ongoing work of his that have many different design outputs, such as: an audiovisual installation, pigment print, film rolls, book, CD, and site-specific installations. Through its application, the project aims to examine the relationship between critical points of device performance and the threshold of human perception. Ikeda's work has a sentimental touch that explores the interaction and connection between human and technology. I, too, want to create an artwork that can give a meaning to those who see it, to tell a story that lies beneath a design. ",https://www.cyclicdefrost.com/wp-content/621101_10201406295546822_1728855671_o.jpg ,https://i.guim.co.uk/img/media/f07b2f2de7669a4aa98518a599875808650dbe91/601_696_5456_3273/master/5456.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=3d30391f4efbbc2a91a6650590412f52 ,"Test Pattern, Ryoji Ikeda, 2008-Ongoing, https://www.ryojiikeda.com/project/testpattern/#testpattern_n3","Test Pattern, Ryoji Ikeda, 2008-Ongoing, https://www.ryojiikeda.com/project/testpattern/#testpattern_n4",https://www.ryojiikeda.com/project/testpattern/#testpattern_n3 ,"ImmersiveExperience, Installations, ComputerGraphics, DataVisualisation",
leftDoubleImage,"Zhu, Rozi","Chinese Visual Artist, n.d.","Rozi Zhu is a multidisciplinary designer situated in New York City. With a keen interest in creative coding and physical computing, she crafts compelling innovative visual experiments and interactive designs. One of her most interesting works is the visual identity she did for We Are Playground, an art festival in Berlin. The use of vibrant colors are captivatingly eye-catching. As someone who studies Graphic Design, I found her work very skillfully executed and successful, which is such a huge inspiration for me. She uses creative coding to bridge the gap between the physical and digital world, by allowing viewers who came to the festival to interact with the artwork by touch of hand. Another prominent work of Zhu is her ""Google Pocket Garden (2022),"" which possess a similar theme as my website that is based on floral nature. This particular work adapts the concept of a community garden in your pocket which allows users to plant persistent virtual flowers and cacti, water them, and watch them grow and spread: kind of like Pokemon Go but for plants. Seeing Zhu's project, it helps me visualize the literal part of my website of having a watered flower that ""grows."" Though her work in this project is three dimensional, it also inspired me with certain aspects when forming the graphic assets of my website's scenery and flower, such as using gradients to create depth in the objects. She poses as a figure I look up to in this industry as I continue to learn from her geniusly composed works.",https://freight.cargo.site/t/original/i/3efdcdcaab416cd266aa4ee14df57a482f037c287c492256c5242b8c60b6b079/ezgif.com-gif-maker-13.gif ,https://freight.cargo.site/t/original/i/0668551e483092d9c408443a02fc987494defad5ac7576c222b2c1638c04fe8c/6328cb7f5870f556679430.gif ,"We Are Playground, Rozi Zhu, 2022, https://rozi.design/We-Are-Playground.","Google Pocket Garden, Rozi Zhu, 2022, https://rozi.design/Pocket-Garden.",https://rozi.design ,"CreativeCoding, PhysicalComputing, GraphicDesign, 3DModelling, InteractionDesign",
left,"Miebach, Nathalie","Boston-based Contemporary Artist, 1972-Present","Nathalie Miebach explores the intersection of art and science by translating scientific data related to meteorology, ecology, and oceanography into woven sculptures and musical scores or performances. Her primary method of data translation is basket weaving, serving as a straightforward, tactile grid for interpreting data into three-dimensional space. At the core of this endeavor is Nathalie Miebach's fascination with the role that visual and musical aesthetics play in the translation and comprehension of intricate scientific systems, such as weather. A distinct characteristic in Miebach's works is how each of them bursts with colors which is very engaging and thought-provoking. The playfulness and physicality of her works inspired me in developing the idea for my final project, as I also wanted to do something fun and immerse myself more in the realm of physical computing. Looking at Miebach's works convinced me to move away from screens, hence working with Arduino to create a working circuit. ",https://images.squarespace-cdn.com/content/v1/6273dccee98b0f6684405de0/1ee894b4-79f0-4ebc-a5fe-2d6cb2dbe36f/NavigatingSculpture.jpg?format=2500w ,,"Musical Buoy In Search of a New Night, Nathalie Miebach, 2009, https://www.nathaliemiebach.com/work/new-portfolio-item-t7xd7. ",,https://www.nathaliemiebach.com ,"DataVisualisation, Sculptures, ArtScience, Translation",
leftDoubleImage,"Rozendaal, Rafaël","Dutch Visual Artist, 1980-Present","Rafaël Rozendaal is one of the best-known artist in digital art. Since the early 2000s, he has been conceptualizing, showcasing, and selling works primarily in the format of websites. In his latest ventures with NFTs, he incorporates nods to art history, employing generative blockchain technologies. Rozendaal's artistic creations manifest in various forms, ranging from immersive installations to browser windows, artist books, and public spaces. Rozendaal's works is one of the earliest artist I came upon as I knew him from the subject's hunt'n'gather. Personally, I think his works show a clear, direct, and stunning baseline of creating a p5js sketch. It is colorful, it draws attention with the sound effects attached to the movement of the objects. He inspired me greatly in creative coding, particularly in how to randomize an object's' color, put them at different coordinates, and alter its underlying shape.",https://www.newrafael.com/wp-content/uploads/2011/12/trembling-gif-sketch-01.gif,https://i.pinimg.com/originals/a7/26/2b/a7262b47fcbab29bc1f9d82417b66ea0.gif,"Trembling, Rafaël Rozendaal, 2013, https://www.newrafael.com/category/sketches/page/3/. ","Untitled, Rafaël Rozendaal, n.d.",https://www.newrafael.com ,"Processing, p5js, CreativeCoding, GenerativeArt",
leftDoubleImage,"O’Keeffe, Georgia","American Modernist Painter, 1887-1986","Georgia O'Keeffe, born in 1887, was an American artist renowned for her ability to convey the emotional essence of nature through her paintings. She achieved widespread recognition for her depictions of flowers and desert landscapes. O'Keeffe played a pivotal role in advancing modern art in America, earning distinction as the first female painter to garner esteem in New York's art scene during the 1920s. Her innovative approach to portraying nature, characterized by simplified shapes and forms, earned her the title of a pioneering artist. The beautiful nature of O'Keeffe's paintings feel so serene and harmonious that I researched her paintings a lot in trying to form the scenery of my website. Having worked with the same objects of flowers and natural scenery like mountains and hills, her works really inspired what I want to achieve in creating my web assets, primarily in choosing a harmonious color palette. Though the medium in which we worked with is completely different: O'Keeffe's being oil paintings and mine being illustrations, I want people to receive a similar emotion they get from viewing her works: an alluring inner piece.",https://prints.okeeffemuseum.org/vitruvius/render/1200/460761.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Georgia_O%27Keeffe_-_Lake_George_Reflection.jpg/1200px-Georgia_O%27Keeffe_-_Lake_George_Reflection.jpg ,"White Flower, Georgia O'Keeffe, 1929, https://prints.okeeffemuseum.org/detail/460761/okeeffe-white-flower-1929. ","Lake George Reflection, Georgia O'Keeffe, circa 1921–1922, https://simple.m.wikipedia.org/wiki/File:Georgia_O%27Keeffe_-_Lake_George_Reflection.jpg. ",https://www.okeeffemuseum.org ,"ModernPaintings, NaturalLandscape, Flowers, Scenery",
left,Looking at Something,"Website by Rafaël Rozendaal, n.d.","Looking at Something is one of the wesbites made by visual artist Rafaël Rozendaal. This website takes the form of rain droplets in a gradient sky where the droplets will get more heavy, the gradient sky will get darker, and a rain storm sound effect will occur when the user hovers or drags the mouse down. This specific work of his left a really strong impression on me from the way the gradient colors change, the heavier droplets, to the intriguing sound effects that mimick a real rain storm. Ultimately, the concept of this website also matches the concept of my website which comprises of a cloud where rain droplets fall, hence inspiring me in making the rain animation of my website. However, my creation is not as advanced as I am still learning while trying to figure out the logics behind Rozendaal's rain sketch. ",https://www.newrafael.com/wp-content/uploads/2013/03/2013-lookingatsomething.png ,,"Looking at Something, Rafaël Rozendaal, n.d., http://www.lookingatsomething.com. ",,http://www.lookingatsomething.com ,"CreativeCoding, Rain, Weather, SoundEffect, Animation, MouseDrag",
left,The Data Garden Project,"Educational Organisation by Joanne Amarisa, 2021.","The Data Garden Project is an educational endeavor designed to acquaint creatives, intellectuals, and hobbyists with the realm of data visualization and coding. The initiative of this organisation is started by Joanne, where she aimed at acquainting women with data visualization and creative coding. The online course adopts a guided project format, wherein participants learn to construct a data-driven virtual garden solely through text messages exchanged with a loved one. To demonstrate the concept, Joanna developed a stunning project titled ""A Garden of my Mother's Concerns,"" showcasing an impressive mapping of WhatsApp messages with her mother. Two lovely people from The Data Garden Project, Joanne and Mei, came in during week 6 to show us a live demonstration of a p5js code to visualize sound recordings/patterns! I found this sessioon very meaningful and insightful, as The Data Garden Project supplied me with a lot of inspiration of what to do for my p5 sketches. Additionally, I also asked questions and for some feedback regarding my web workbook to them, hence why some parts of my workbook is definitely influenced by the insights that they have provided me with.",https://framerusercontent.com/images/c7jeJB9o8cv3ghD3SpvKKMjfqc.png ,,"We Are All Needy, Joanne Amarisa, n.d. https://joanneamarisa.github.io/NeedyGarden/.",,https://datagardenproject.com ,"Collective, Educational, CreativeCoding, p5js, ProcessingSketch, LearningModule",
